pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10
37,LIB3-CON3,0.0909,0.0000,0.0909,0.0000,0.0000,0.1818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,LIB3-LIB1,0.0000,0.0455,0.0341,0.0227,0.0568,0.0227,0.0227,0.0114,0.0341,0.0341,0.0227,0.0341,0.0795,0.0341,0.0682,0.0341,0.0227,0.0000,0.0114
39,LIB3-LIB2,0.0152,0.0379,0.0341,0.0530,0.0303,0.0303,0.0379,0.0417,0.0341,0.0455,0.0455,0.0379,0.0227,0.0341,0.0227,0.0227,0.0227,0.0152,0.0076
40,LIB3-LIB3,0.0000,0.0000,0.0496,0.0496,0.0331,0.0331,0.0826,0.0165,0.0331,0.0331,0.0331,0.0496,0.0331,0.0000,0.0165,0.0165,0.0165,0.0165,0.0000
41,LIB3-NEUT,0.0202,0.0606,0.0505,0.0505,0.0505,0.0404,0.0505,0.0606,0.0808,0.0909,0.0404,0.0505,0.0303,0.0202,0.0404,0.0404,0.0202,0.0202,0.0202
42,NEUT-CON1,0.0000,0.0444,0.0444,0.0667,0.0444,0.0000,0.0444,0.0444,0.0667,0.0222,0.0444,0.0222,0.0222,0.0444,0.0222,0.0444,0.0000,0.0000,0.0000
43,NEUT-CON2,0.0000,0.2222,0.2222,0.0000,0.0000,0.0000,0.2222,0.0000,0.2222,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.1111,0.1111,0.1111,0.0000
44,NEUT-CON3,0.0000,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000
45,NEUT-LIB1,0.0139,0.0556,0.0833,0.0417,0.0139,0.0000,0.0278,0.0139,0.0000,0.0000,0.0000,0.0417,0.0556,0.0000,0.0000,0.0000,0.0139,0.0000,0.0000
46,NEUT-LIB2,0.0000,0.0139,0.0370,0.0417,0.0278,0.0324,0.0417,0.0231,0.0278,0.0370,0.0324,0.0370,0.0231,0.0231,0.0185,0.0093,0.0000,0.0370,0.0185
47,NEUT-LIB3,0.0202,0.0606,0.0505,0.0505,0.0505,0.0404,0.0505,0.0606,0.0808,0.0909,0.0404,0.0505,0.0303,0.0202,0.0404,0.0404,0.0202,0.0202,0.0202
48,NEUT-NEUT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
