,freq,source,target
323,4,2.0,57.0
324,43,20.0,36.0
325,1,42.0,9.0
326,3,30.0,44.0
327,1,67.0,3.0
328,76,22.0,22.0
329,4,5.0,38.0
330,8,9.0,35.0
331,14,23.0,23.0
332,2,64.0,44.0
333,14,69.0,35.0
334,2,30.0,65.0
335,22,4.0,4.0
336,3,42.0,71.0
337,2,11.0,21.0
338,4,22.0,68.0
339,1,14.0,46.0
340,2,77.0,52.0
341,12,21.0,56.0
342,2,52.0,58.0
343,23,35.0,66.0
344,1,50.0,22.0
345,4,9.0,66.0
346,4,79.0,40.0
347,17,68.0,75.0
348,1,59.0,62.0
349,7,23.0,44.0
350,4,6.0,44.0
351,1,10.0,35.0
352,22,42.0,36.0
353,4,16.0,63.0
354,13,44.0,50.0
355,57,24.0,24.0
356,1,72.0,50.0
357,2,71.0,42.0
358,1,80.0,50.0
359,13,43.0,70.0
360,2,26.0,18.0
361,65,20.0,42.0
362,27,30.0,30.0
363,22,4.0,21.0
364,2,19.0,23.0
365,33,31.0,31.0
366,6,5.0,40.0
367,3,9.0,45.0
368,20,33.0,56.0
369,9,21.0,21.0
370,22,15.0,67.0
371,4,44.0,19.0
372,5,18.0,26.0
373,1,47.0,6.0
374,25,51.0,67.0
375,6,68.0,62.0
376,69,24.0,31.0
377,43,67.0,67.0
378,3,11.0,31.0
379,8,44.0,71.0
380,5,47.0,74.0
381,2,18.0,71.0
382,3,22.0,72.0
383,3,10.0,66.0
384,8,31.0,4.0
385,11,46.0,36.0
386,1,79.0,62.0
387,3,59.0,76.0
388,9,4.0,58.0
389,1,67.0,28.0
390,3,46.0,14.0
391,887,37.0,37.0
392,3,22.0,32.0
393,1,12.0,23.0
394,9,36.0,20.0
395,1,2.0,29.0
396,4,29.0,19.0
397,6,4.0,27.0
398,20,56.0,56.0
399,2,22.0,20.0
400,12,79.0,45.0
401,3,68.0,6.0
402,2,57.0,31.0
403,1,72.0,65.0
404,19,60.0,60.0
405,7,35.0,50.0
406,80,77.0,71.0
407,14,62.0,62.0
408,29,18.0,72.0
409,15,30.0,71.0
410,4,65.0,65.0
411,227,48.0,48.0
412,4,14.0,44.0
413,6,72.0,19.0
414,4,27.0,4.0
415,9,59.0,45.0
416,14,55.0,25.0
417,1,27.0,58.0
418,1038,31.0,16.0
419,22,5.0,45.0
420,2,23.0,46.0
421,2,54.0,40.0
422,22,34.0,34.0
423,8,44.0,22.0
424,2,33.0,31.0
425,2,43.0,43.0
426,19,58.0,56.0
427,23,44.0,44.0
428,3,71.0,36.0
429,1,69.0,52.0
430,15,11.0,24.0
431,127,4.0,9.0
432,3,60.0,67.0
433,281,55.0,12.0
434,1,69.0,9.0
435,35,29.0,77.0
436,1,44.0,43.0
437,11,51.0,55.0
438,1,5.0,65.0
439,3,63.0,11.0
440,1,44.0,65.0
441,1,50.0,44.0
442,1,77.0,36.0
443,20,21.0,4.0
444,1,77.0,62.0
445,1233,1.0,61.0
