,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24
279,55.0,21.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
280,55.0,25.0,14,0,0,0,4,5,5,8,11,13,13,14,14,14,14,14,14,14,14,14,14
281,55.0,28.0,24,0,0,2,6,14,15,18,18,18,18,24,24,24,24,24,24,24,24,24,24
282,55.0,47.0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
283,55.0,51.0,18,0,0,3,3,6,6,6,6,7,8,11,13,17,17,18,18,18,18,18,18
284,56.0,21.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
285,56.0,24.0,5,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,5,5,5,5
286,56.0,31.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4
287,56.0,33.0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,8,8,8,8
288,56.0,58.0,6,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,5,6,6,6,6
289,57.0,2.0,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14
290,57.0,21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
291,57.0,31.0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2
292,57.0,52.0,95,0,0,10,37,37,37,37,37,37,95,95,95,95,95,95,95,95,95,95,95
293,58.0,4.0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
294,58.0,24.0,1228,7,72,136,136,208,262,315,538,600,668,783,848,898,1189,1193,1205,1213,1217,1228,1228
295,58.0,31.0,10,0,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
296,58.0,33.0,2,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
297,58.0,56.0,19,0,0,0,0,0,0,0,0,0,0,0,12,12,19,19,19,19,19,19,19
298,59.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
299,59.0,23.0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
300,59.0,32.0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4
301,59.0,38.0,6,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,6,6,6,6,6
302,59.0,40.0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4
303,59.0,45.0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9
304,59.0,52.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
305,59.0,62.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
306,59.0,65.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
307,59.0,68.0,8,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,8,8,8,8,8
308,59.0,76.0,3,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
309,60.0,12.0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
310,60.0,30.0,36,0,0,0,0,0,26,26,26,29,29,31,31,36,36,36,36,36,36,36,36
311,60.0,42.0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
312,60.0,44.0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,6,6
313,60.0,67.0,3,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
314,61.0,1.0,3526,4,327,921,1296,1396,1638,1935,2112,2277,2399,2568,2763,2839,2982,3103,3196,3295,3403,3480,3526
315,61.0,37.0,3,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3
316,62.0,6.0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
317,62.0,29.0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
318,62.0,32.0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
319,62.0,38.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
320,62.0,43.0,5,0,0,0,0,0,0,0,0,0,3,5,5,5,5,5,5,5,5,5,5
321,62.0,54.0,13,0,0,0,5,5,5,5,5,6,6,6,7,9,10,12,12,12,13,13,13
322,62.0,68.0,9,0,0,0,4,4,4,4,4,7,9,9,9,9,9,9,9,9,9,9,9
323,62.0,70.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
324,62.0,74.0,43,0,26,26,38,38,38,43,43,43,43,43,43,43,43,43,43,43,43,43,43
325,62.0,77.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
326,63.0,11.0,3,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
327,63.0,16.0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3
328,63.0,21.0,40,0,0,0,2,7,10,12,16,18,21,28,30,38,38,40,40,40,40,40,40
329,63.0,24.0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
